"ZIP.CODE","Name","Geographic.Unit","Median.Household.Income.2020.Estimated.","BOROUGH.NAME","mean_sale","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone","coordsx","coordsy"
"11005","11005, Floral Park, NY","Zip Code",58016.2,"Queens",NA,40.75663,-73.71423,"Floral Park","NY","New York",TRUE,NA,1759,3702,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",608533.358664143,4512536.36115943
"11040",NA,NA,NA,NA,645907.285714286,40.7456,-73.67978,"New Hyde Park","NY","New York",TRUE,NA,41592,3355.2,36059,"Nassau","{""36059"": ""94.67"", ""36081"": ""5.33""}","Nassau|Queens","36059|36081",FALSE,FALSE,"America/New_York",611459.820089554,4511355.11331209
"11101","11101, Long Island City, NY","Zip Code",64762.223228495,"Queens",1620000,40.74671,-73.93893,"Long Island City","NY","New York",TRUE,NA,31366,4651.5,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",589579.122171715,4511181.52759354
"11102","11102, Astoria, NY","Zip Code",65199.208072606,"Queens",876883.333333333,40.77238,-73.92611,"Astoria","NY","New York",TRUE,NA,29747,14564.2,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",590626.574632376,4514044.26028117
"11103","11103, Astoria, NY","Zip Code",71153.106201836,"Queens",900895.083333333,40.76266,-73.91349,"Astoria","NY","New York",TRUE,NA,35995,19533.1,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",591704.969699578,4512978.37707347
"11104","11104, Sunnyside, NY","Zip Code",63051.188596367,"Queens",986716.666666667,40.7446,-73.92027,"Sunnyside","NY","New York",TRUE,NA,25114,24986.3,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",591157.371633268,4510966.51406169
"11105","11105, Astoria, NY","Zip Code",73406.836077057,"Queens",995500,40.77887,-73.90622,"Astoria","NY","New York",TRUE,NA,36983,8488.3,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",592296.156986013,4514785.44198022
"11106","11106, Astoria, NY","Zip Code",64323.272721674,"Queens",1008666.66666667,40.76172,-73.93183,"Astoria","NY","New York",TRUE,NA,37690,17023,36081,"Queens","{""36081"": ""100""}","Queens","36081",FALSE,FALSE,"America/New_York",590158.257457628,4512855.02281015
"11201","11201, Brooklyn, NY","Zip Code",126044.67068333,"Brooklyn",2978000,40.69463,-73.98972,"Brooklyn","NY","New York",TRUE,NA,63378,17389.1,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",585357.698944936,4505349.70219214
"11203","11203, Brooklyn, NY","Zip Code",50636.61001078,"Brooklyn",521084.551724138,40.64955,-73.93444,"Brooklyn","NY","New York",TRUE,NA,76085,13695.2,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",590088.998978176,4500400.72141304
"11204","11204, Brooklyn, NY","Zip Code",49480.28962542,"Brooklyn",985240,40.61871,-73.98492,"Brooklyn","NY","New York",TRUE,NA,76395,18573.3,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",585860.540374022,4496926.83677959
"11205","11205, Brooklyn, NY","Zip Code",55766.000819436,"Brooklyn",2226666.66666667,40.69468,-73.96613,"Brooklyn","NY","New York",TRUE,NA,46843,19140.2,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",587350.765171689,4505378.43757242
"11206","11206, Brooklyn, NY","Zip Code",36242.493301651,"Brooklyn",650000,40.70187,-73.94235,"Brooklyn","NY","New York",TRUE,NA,88422,23799.9,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",589350.342428973,4506200.48809115
"11207","11207, Brooklyn, NY","Zip Code",37382.632181993,"Brooklyn",562679.753424658,40.67073,-73.89429,"Brooklyn","NY","New York",TRUE,NA,91083,13161.5,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",593454.023503051,4502793.73571299
"11208","11208, Brooklyn, NY","Zip Code",41445.810205544,"Brooklyn",437511.193181818,40.66855,-73.87103,"Brooklyn","NY","New York",TRUE,NA,101313,10934.1,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",595423.092721789,4502576.73072117
"11209","11209, Brooklyn, NY","Zip Code",73330.531528584,"Brooklyn",1155482.29032258,40.62194,-74.03009,"Brooklyn","NY","New York",TRUE,NA,67782,12332.2,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",582035.826405806,4497242.2898283
"11210","11210, Brooklyn, NY","Zip Code",65957.236549958,"Brooklyn",880494.159663866,40.62821,-73.94627,"Brooklyn","NY","New York",TRUE,NA,64665,15208.5,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",589117.177719492,4498019.81459302
"11211","11211, Brooklyn, NY","Zip Code",72594.853453372,"Brooklyn",1505281.25,40.71244,-73.95299,"Brooklyn","NY","New York",TRUE,NA,103123,17219.3,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",588437.473807005,4507363.0608556
"11212","11212, Brooklyn, NY","Zip Code",25706.282617621,"Brooklyn",414699.66,40.66293,-73.91303,"Brooklyn","NY","New York",TRUE,NA,75605,18970.3,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",591880.804930884,4501908.1336019
"11213","11213, Brooklyn, NY","Zip Code",42537.809344504,"Brooklyn",791564.5,40.67111,-73.9363,"Brooklyn","NY","New York",TRUE,NA,67056,23744,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",589902.786616192,4502792.10394844
"11214","11214, Brooklyn, NY","Zip Code",55690.568367251,"Brooklyn",909943.317073171,40.59866,-73.99636,"Brooklyn","NY","New York",TRUE,NA,92644,16492,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",584918.250906069,4494690.09596397
"11215","11215, Brooklyn, NY","Zip Code",124851.89230504,"Brooklyn",1938963.34285714,40.6626,-73.98678,"Brooklyn","NY","New York",TRUE,NA,69873,12404,36047,"Kings","{""36047"": ""100""}","Kings","36047",FALSE,FALSE,"America/New_York",585647.088755812,4501797.04266339
